health,fatigue,alcohol,emotion,safety_knowledge,experience,skill,accident_history,violation_history,distance,stay_time,overlap,authorized,ppe_fastened,protection_eff,hazard_type,impact_range,stability_margin,device_abnormality,sensor_coverage,alarm_effect,wind_speed,illumination,Label
0.489187747,0.160228688,否,0.69933029,0.83657395,1.160903737,初级,1次,无,27.06047856,35.37531197,0.049451618,是,是,0.608129673,车辆,5.99009927,0.855316292,0.579504096,0.953428253,0.564525977,1.265262995,0.535963599,低风险
0.911844537,0.233121055,否,0.512110175,0.968035282,36.98500772,中级,无,无,21.72780253,65.55159537,0.061960418,是,是,0.426024316,塔吊,15.04388459,0.583436673,0.077579648,0.776179097,0.779506865,1.036826114,0.821837123,无风险
0.60412087,0.526016326,否,0.630792872,0.79958536,10.25285248,中级,1次,无,9.021798362,39.84503066,0.201106867,是,是,0.085955456,深基坑,5.172576779,0.338306143,0.404260697,0.748784836,0.658078711,0.494945867,0.798969192,高风险
0.763001311,0.198053039,否,0.948488991,0.727815674,0.5292828,中级,无,无,8.212811838,36.21453216,0.434896972,是,是,0.190887566,塔吊,28.63570128,0.999998377,0.348843236,0.813475974,0.608646,2.045356337,0.732997425,高风险
0.810097262,0.511151012,否,0.693149003,0.930451321,8.373672636,中级,1次,无,16.01220863,21.38433589,0.343614102,是,是,0.530138956,车辆,4.308528874,0.479628271,0.483749707,0.978378252,0.694011588,0.703001273,0.46385419,低风险
0.146945877,0.109503045,否,0.885771847,0.815361362,23.91458129,中级,无,≥2次,53.85163995,46.74855442,0.107574554,是,是,0.600604366,配电箱,26.74627717,0.348877006,0.394209806,0.958366833,0.202375004,0.613618582,0.635795285,高风险
0.392741076,0.294851476,否,0.579514832,0.794926299,0.628137467,中级,无,无,29.53941054,49.15387045,0.129986607,是,是,0.728746159,高支模,11.78137473,0.39434514,0,0.678545286,0.321021286,2.373721988,0.321897089,低风险
0.749437372,0.797663807,否,0.618813435,0.861015754,4.047417137,初级,无,无,18.17628178,53.94382692,0.093757378,是,是,0.40579087,车辆,80.70514892,0.781872668,0.164988444,0.930531355,0.575314391,3.133883297,0.692260843,中风险
0.389739433,0.134183393,否,0.721871913,0.758220305,2.766816786,高级,1次,无,30.05886841,30.79799977,0.029327849,是,是,0.470144761,车辆,20.71461303,0.382490705,0.245101107,0.896270021,0.801773168,4.286494622,0.625590643,低风险
0.570105774,0.78616506,否,0.763134353,0.953938504,8.752878379,初级,无,无,9.761929319,45.45844272,0.567303148,否,是,0.881192457,车辆,7.907753054,0.454373596,0.21239514,0.618726043,0.580055057,1.828343236,0.771230703,极高风险
