health,fatigue,alcohol,emotion,safety_knowledge,experience,skill,accident_history,violation_history,distance,stay_time,overlap,authorized,ppe_fastened,protection_eff,hazard_type,impact_range,stability_margin,device_abnormality,sensor_coverage,alarm_effect,wind_speed,illumination,Label
0.49,0.16,否,0.7,0.84,1.16,初级,1次,无,27.06,35.38,0.05,是,是,0.61,车辆,5.99,0.86,0.58,0.95,0.56,1,0.54,中风险
0.91,0.23,否,0.51,0.97,36.99,中级,无,无,21.73,65.55,0.06,是,是,0.43,塔吊,15.04,0.58,0.08,0.78,0.78,1,0.82,无风险
0.6,0.53,否,0.63,0.8,10.25,中级,1次,无,9.02,39.85,0.2,是,是,0.09,深基坑,5.17,0.34,0.4,0.75,0.66,0,0.8,高风险
0.76,0.2,否,0.95,0.73,0.53,中级,无,无,8.21,36.21,0.43,是,是,0.19,塔吊,28.64,1,0.35,0.81,0.61,2,0.73,高风险
0.81,0.51,否,0.69,0.93,8.37,中级,1次,无,16.01,21.38,0.34,是,是,0.53,车辆,4.31,0.48,0.48,0.98,0.69,1,0.46,中风险
0.15,0.11,否,0.89,0.82,23.91,中级,无,≥2次,53.85,46.75,0.11,是,是,0.6,配电箱,26.75,0.35,0.39,0.96,0.2,1,0.64,极高风险
0.39,0.29,否,0.58,0.79,0.63,中级,无,无,29.54,49.15,0.13,是,是,0.73,高支模,11.78,0.39,0,0.68,0.32,2,0.32,中风险
0.75,0.8,否,0.62,0.86,4.05,初级,无,无,18.18,53.94,0.09,是,是,0.41,车辆,80.71,0.78,0.16,0.93,0.58,3,0.69,极高风险
0.39,0.13,否,0.72,0.76,2.77,高级,1次,无,30.06,30.8,0.03,是,是,0.47,车辆,20.71,0.38,0.25,0.9,0.8,4,0.63,中风险
0.57,0.79,否,0.76,0.95,8.75,初级,无,无,9.76,45.46,0.57,否,是,0.88,车辆,7.91,0.45,0.21,0.62,0.58,2,0.77,极高风险
0.55,0.36,否,0.63,0.78,9.06,初级,1次,1次,11.58,43.7,0.35,是,是,0.77,深基坑,10.1,0.54,0,0.79,0.35,3,0.6,高风险
0.69,0.59,否,0.59,0.86,0.59,中级,无,1次,14.46,16.36,0.28,是,是,0.17,塔吊,1.91,1,0.14,0.9,0.77,4,0.45,高风险
0.76,0.27,否,0.68,0.73,5.13,中级,无,无,24.73,32.08,0.29,否,是,0.61,深基坑,4.81,1,0.36,0.65,0.84,2,0.75,高风险
0.71,0.23,否,0.84,0.72,2.51,初级,无,1次,42.97,85.36,0.17,是,是,0.87,配电箱,11.25,1,0,0.88,0.68,4,0.62,低风险
0.59,0.4,否,0.63,0.73,0.07,中级,无,无,16.93,60.01,0.21,是,是,0.7,高支模,4.78,1,0.14,0.93,0.75,2,0.82,低风险
0.26,0.15,否,0.74,0.86,2.41,中级,无,无,37.71,19.43,0.14,是,是,0.7,深基坑,39.24,0.36,0.36,0.72,0.89,2,0.39,中风险
0.28,0.26,否,0.67,0.84,17.13,中级,无,1次,11.67,24.48,0.01,是,是,0.76,高支模,8.8,0.86,0.86,0.71,0.73,4,0.71,低风险
0.88,0.61,是,0.59,0.78,9.12,初级,无,无,38.17,84.52,0.4,是,是,0.73,塔吊,18.02,0.75,0,0.65,0.44,1,0.59,极高风险
0.25,0.29,否,0.53,0.74,1.79,高级,1次,无,29.02,22.48,0.06,是,是,0.91,高支模,15.48,1,0.07,0.94,0.58,2,0.67,无风险
0.67,0.78,否,0.56,0.69,5.56,初级,无,无,29.86,17.85,0.36,是,是,0.88,塔吊,18.45,0.61,0.5,0.78,0.65,7,0.47,高风险
0.7,0.17,否,0.69,0.79,11.54,初级,无,无,12.67,42.65,0.18,是,是,0.87,高支模,19.36,0.76,0,0.78,0.14,6,0.77,低风险
0.56,0.24,否,0.62,0.68,0.25,中级,无,无,14.37,74.56,0.08,是,是,0.91,配电箱,26.14,0.83,0,0.84,0.47,3,0.8,低风险
0.85,0.34,否,0.55,0.84,3.4,中级,无,无,16.31,23.64,0.82,是,是,0.31,深基坑,0.56,0.41,0.01,0.64,0.44,1,0.59,中风险
0.77,0.59,否,0.68,0.81,20.69,初级,无,无,12.72,22.23,0.23,是,否,0.16,高支模,4.11,0.51,0,0.84,0.54,1,0.9,极高风险
0.74,0.4,否,0.76,0.68,14.07,中级,无,1次,17.54,62.15,0.52,是,是,0.45,配电箱,5.24,0.16,0.07,0.95,0.74,1,0.27,极高风险
0.78,0.56,否,0.59,0.78,9.67,初级,无,无,15.91,37.08,0.21,是,是,0.36,深基坑,2.24,1,0,0.86,0.8,4,0.56,低风险
0.38,0.16,否,0.64,0.75,5.02,初级,无,无,10.78,30.25,0.19,否,是,0.8,高支模,20.44,0.41,0.46,0.91,0.47,2,0.19,极高风险
0.81,0.49,否,0.64,0.92,9.25,初级,无,1次,16.54,27.47,0.24,是,是,0.91,车辆,34.8,0.44,0,0.64,0.6,5,0.48,中风险
0.85,0.23,否,0.65,0.73,12.83,初级,无,1次,17.4,23.7,0.14,是,是,0.09,高支模,17.39,1,0.16,0.82,0.61,3,0.75,高风险
0.91,0.19,否,0.59,1,6.95,中级,1次,无,16.62,15.73,0.62,是,是,0.71,配电箱,14.12,1,0.08,0.91,0.56,3,0.67,低风险
