,health,fatigue,alcohol,emotion,safety_knowledge,experience,skill,accident_history,violation_history,distance,stay_time,overlap,authorized,ppe_fastened,protection_eff,hazard_type,impact_range,stability_margin,device_abnormality,sensor_coverage,alarm_effect,wind_speed,illumination
health,0,0.197921204,0,0.174849553,0,0,0,0,0,0,0,0,0.148492112,0.098556478,0,0,0,0,0,0,0,0,0
fatigue,0.171524945,0,0,0.235670286,0,0,0,0,0,0.088934624,0.082012734,0,0,0.145582945,0,0,0,0,0,0,0,0,0
alcohol,0.189872417,0.153747796,0,0.280633086,0,0,0,0,0.079645043,0,0,0,0.100437101,0.211223823,0,0,0,0,0,0,0,0,0
emotion,0.14531866,0.113318442,0,0,0,0,0,0,0,0,0,0,0,0.153472765,0,0,0,0,0,0,0,0,0
safety_knowledge,0,0,0,0,0,0,0,0,0,0,0,0,0.086260442,0.166598498,0.119045241,0,0,0,0,0,0,0,0
experience,0,0,0,0,0.196480554,0,0.17327214,0,0,0,0,0,0,0.153941602,0.121770717,0,0,0,0,0,0,0,0
skill,0,0,0,0,0.134622262,0,0,0,0,0,0,0,0.107776338,0.141563082,0.133751069,0,0,0,0,0,0,0,0
accident_history,0,0,0,0.103441049,0,0,0,0,0,0,0,0,0.120401054,0.08028297,0,0,0,0,0,0,0,0,0
violation_history,0,0,0,0.085465646,0,0,0,0,0,0,0,0,0.12215184,0.173241653,0,0,0,0,0,0,0,0,0
distance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134615385,0,0,0,0,0,0,0,0
stay_time,0,0.126754368,0,0,0,0,0,0,0,0.094251707,0,0,0,0,0,0,0,0,0,0,0,0,0
overlap,0,0,0,0,0,0,0,0,0,0.115772382,0,0,0,0,0.112002349,0,0,0,0,0,0,0,0
authorized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ppe_fastened,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
protection_eff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hazard_type,0,0,0,0,0,0,0,0,0,0.143665002,0.079300457,0.101112936,0,0,0.251879219,0,0.211538462,0.115384615,0.096153846,0,0,0,0
impact_range,0,0,0,0,0,0,0,0,0,0.143871932,0.097277766,0,0,0,0.07784341,0,0,0,0,0,0,0,0
stability_margin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154004133,0,0,0,0,0,0,0,0
device_abnormality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensor_coverage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211538462,0,0
alarm_effect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wind_speed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09431361,0,0,0,0,0,0,0,0
illumination,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
